Threshold,tn,fp,fn,tp,fpr,tpr,precision,recall
0.0,0,10450,0,2237,1.0,1.0,0.17632221959486089,1.0
0.005,0,10450,0,2237,1.0,1.0,0.17632221959486089,1.0
0.01,5,10445,0,2237,0.9995215311004785,1.0,0.17639173631919255,1.0
0.015,46,10404,7,2230,0.9955980861244019,0.9968708091193563,0.17650783599810035,0.9968708091193563
0.02,287,10163,19,2218,0.9725358851674641,0.9915064818953956,0.1791454648251353,0.9915064818953956
0.025,773,9677,54,2183,0.9260287081339713,0.975860527492177,0.18406408094435076,0.975860527492177
0.030000000000000002,1403,9047,101,2136,0.8657416267942584,0.9548502458649978,0.1910042028078333,0.9548502458649978
0.035,2145,8305,169,2068,0.7947368421052632,0.9244523915958873,0.19936373276776245,0.9244523915958873
0.04,3008,7442,259,1978,0.7121531100478469,0.8842199374161824,0.2099787685774947,0.8842199374161824
0.045,3893,6557,358,1879,0.6274641148325358,0.8399642378185069,0.22273589378852537,0.8399642378185069
0.049999999999999996,4862,5588,519,1718,0.5347368421052632,0.7679928475637013,0.2351491924445661,0.7679928475637013
0.05499999999999999,5750,4700,653,1584,0.44976076555023925,0.7080911935628074,0.25206874602164225,0.7080911935628074
0.05999999999999999,6690,3760,864,1373,0.3598086124401914,0.6137684398748323,0.2674849016169881,0.6137684398748323
0.06499999999999999,7604,2846,1141,1096,0.2723444976076555,0.48994188645507375,0.2780314561136479,0.48994188645507375
0.06999999999999999,8376,2074,1447,790,0.1984688995215311,0.3531515422440769,0.27583798882681565,0.3531515422440769
0.075,9032,1418,1690,547,0.13569377990430623,0.2445239159588735,0.2783715012722646,0.2445239159588735
0.08,9579,871,1879,358,0.08334928229665071,0.16003576218149307,0.2912937347436941,0.16003576218149307
0.085,9961,489,2002,235,0.04679425837320574,0.1050514081358963,0.324585635359116,0.1050514081358963
0.09000000000000001,10255,195,2125,112,0.018660287081339714,0.05006705409029951,0.36482084690553745,0.05006705409029951
0.09500000000000001,10405,45,2178,59,0.00430622009569378,0.02637460885113992,0.5673076923076923,0.02637460885113992
0.10000000000000002,10443,7,2216,21,0.0006698564593301435,0.009387572641931158,0.75,0.009387572641931158
0.10500000000000002,10450,0,2237,0,0.0,0.0,,0.0
0.11000000000000003,10450,0,2237,0,0.0,0.0,,0.0
0.11500000000000003,10450,0,2237,0,0.0,0.0,,0.0
0.12000000000000004,10450,0,2237,0,0.0,0.0,,0.0
